10006	ABI1	H. sapiens	10152	ABI2	H. sapiens
10006	ABI1	H. sapiens	10787	NCKAP1	H. sapiens
10006	ABI1	H. sapiens	2059	EPS8	H. sapiens
10006	ABI1	H. sapiens	25	ABL1	H. sapiens
10006	ABI1	H. sapiens	2885	GRB2	H. sapiens
10006	ABI1	H. sapiens	5296	PIK3R2	H. sapiens
10006	ABI1	H. sapiens	7408	VASP	H. sapiens
1003	CDH5	H. sapiens	1499	CTNNB1	H. sapiens
1003	CDH5	H. sapiens	1956	EGFR	H. sapiens
1003	CDH5	H. sapiens	8502	PKP4	H. sapiens
10040	TOM1L1	H. sapiens	1213	CLTC	H. sapiens
10040	TOM1L1	H. sapiens	2534	FYN	H. sapiens
10040	TOM1L1	H. sapiens	2885	GRB2	H. sapiens
10044	SH2D3C	H. sapiens	1956	EGFR	H. sapiens
10112	KIF20A	H. sapiens	5870	RAB6A	H. sapiens
10112	KIF20A	H. sapiens	9212	AURKB	H. sapiens
10126	DNAL4	H. sapiens	388677	NOTCH2NLA	H. sapiens
10126	DNAL4	H. sapiens	9457	FHL5	H. sapiens
10133	OPTN	H. sapiens	10133	OPTN	H. sapiens
10133	OPTN	H. sapiens	10318	TNIP1	H. sapiens
10133	OPTN	H. sapiens	2060	EPS15	H. sapiens
10133	OPTN	H. sapiens	23710	GABARAPL1	H. sapiens
10133	OPTN	H. sapiens	4646	MYO6	H. sapiens
10133	OPTN	H. sapiens	7316	UBC	H. sapiens
10133	OPTN	H. sapiens	8766	RAB11A	H. sapiens
10133	OPTN	H. sapiens	8878	SQSTM1	H. sapiens
10133	OPTN	H. sapiens	9802	DAZAP2	H. sapiens
10142	AKAP9	H. sapiens	4670	HNRNPM	H. sapiens
10142	AKAP9	H. sapiens	5108	PCM1	H. sapiens
10142	AKAP9	H. sapiens	9500	MAGED1	H. sapiens
10152	ABI2	H. sapiens	10006	ABI1	H. sapiens
10152	ABI2	H. sapiens	10152	ABI2	H. sapiens
10152	ABI2	H. sapiens	10254	STAM2	H. sapiens
10152	ABI2	H. sapiens	114932	MRFAP1L1	H. sapiens
10152	ABI2	H. sapiens	166	TLE5	H. sapiens
10152	ABI2	H. sapiens	23636	NUP62	H. sapiens
10152	ABI2	H. sapiens	25	ABL1	H. sapiens
10152	ABI2	H. sapiens	26258	BLOC1S6	H. sapiens
10152	ABI2	H. sapiens	3866	KRT15	H. sapiens
10152	ABI2	H. sapiens	4005	LMO2	H. sapiens
10152	ABI2	H. sapiens	5108	PCM1	H. sapiens
10152	ABI2	H. sapiens	6386	SDCBP	H. sapiens
10152	ABI2	H. sapiens	7205	TRIP6	H. sapiens
10152	ABI2	H. sapiens	7408	VASP	H. sapiens
10152	ABI2	H. sapiens	80817	CEP44	H. sapiens
10152	ABI2	H. sapiens	8440	NCK2	H. sapiens
10152	ABI2	H. sapiens	8976	WASL	H. sapiens
10155	TRIM28	H. sapiens	10951	CBX1	H. sapiens
10155	TRIM28	H. sapiens	11335	CBX3	H. sapiens
10155	TRIM28	H. sapiens	23468	CBX5	H. sapiens
